Kabupaten/Kota,IKAN,Ekor kuning,"Tongkol, tuna, cakalang, dencis, ikan kayu",Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung, lema/tatare, banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas, nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan segar/basah lainnya,"Udang, lobster","Cumi-cumi, sotong, gurita","Ketam, kepiting, rajungan","Kerang, siput, bekicot, remis",Udang dan hewan air lainnya yang segar lainnya,Kembung diawetkan/peda,Tenggiri diawetkan,Tongkol/tuna/cakalang diawetkan,Teri diawetkan,Selar diawetkan,Sepat diawetkan,Bandeng diawetkan,Gabus diawetkan,"Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",Ikan diawetkan lainnya,"Udang diawetkan (ebi, rebon)","Cumi-cumi, sotong, gurita diawetkan",ang dan hewan air lainnya yang diawetkan
Simeulue,16810,1298,-,5002,265,534,295,1734,1151,527,256,194,287,-,44,96,166,122,44,3,49,36,1002,858,1645,246,134,301,5,9,45,298,6,-,-,-,29,98,13,15,4
Aceh Singkil,19371,661,-,3672,257,2279,82,206,870,206,26,1032,119,-,555,3206,780,36,5,115,-,42,796,1114,440,134,83,51,31,109,204,1213,22,44,2,233,108,558,52,24,3
Aceh Selatan,17808,676,-,5067,544,1455,131,1888,1505,992,66,72,211,-,372,564,265,577,8,-,-,136,1042,429,310,-,45,38,23,23,143,769,97,9,-,6,2,199,128,-,13
Aceh Tenggara,18106,4,-,1869,82,389,28,33,576,13,12,167,2843,-,4214,196,652,9,-,80,84,-,164,290,339,2,10,35,783,142,41,3102,302,2,7,33,127,891,350,93,144
Aceh Timur,21435,1087,-,4539,321,1770,79,537,1851,580,3368,233,767,-,42,120,105,406,51,37,142,29,505,2175,462,128,102,317,135,17,269,606,78,15,104,10,48,256,105,20,23
Aceh Tengah,16740,33,-,1590,124,1165,15,148,948,135,3637,62,3831,-,124,805,345,50,-,1,419,-,264,1483,160,-,13,27,23,17,95,442,63,8,-,5,152,474,45,4,32
Aceh Barat,29000,897,-,4011,3272,3345,227,431,3262,524,1116,1529,108,-,108,1245,1461,607,-,33,155,45,1090,2036,327,78,415,590,327,31,301,555,3,14,53,66,176,123,400,11,26
Aceh Besar,21005,382,-,4385,1189,3023,61,86,2115,1612,713,53,566,#VALUE!,65,155,181,73,-,-,-,50,302,2922,649,15,24,223,148,46,390,1276,27,18,-,-,12,26,127,92,-
Pidie,20580,538,-,4730,345,2074,93,307,2610,1594,1987,158,1066,-,34,117,83,72,-,-,7,19,320,2745,193,50,56,128,395,26,93,542,20,4,38,2,3,61,64,1,6
Bireuen,27711,431,-,5343,825,2681,281,662,2113,1584,4137,141,1712,-,19,52,170,174,2,-,92,-,549,3965,557,120,74,371,143,30,171,768,33,13,86,5,13,267,86,21,21
Aceh Utara,18998,661,-,4517,602,947,227,522,1563,587,3260,229,1313,-,29,23,137,187,42,31,99,33,335,1691,474,64,59,26,214,43,145,465,123,14,98,24,29,116,62,8,-
Aceh Barat Daya,16300,454,-,3605,1983,1078,138,933,1509,1518,166,322,96,-,123,397,510,127,-,28,70,10,905,688,402,12,23,46,69,33,90,584,89,19,8,9,28,89,128,9,4
Gayo Lues,19773,34,-,1727,546,840,72,73,170,388,376,240,3745,-,4479,191,588,-,-,89,156,172,409,585,133,-,17,8,663,151,126,2554,32,33,53,18,267,535,223,8,71
Aceh Tamiang,15840,120,-,3039,1069,1389,5,86,1386,119,1481,196,451,-,126,388,615,146,-,37,3,15,1809,1658,171,99,9,100,121,31,34,747,-,2,-,8,85,257,26,-,12
Nagan Raya,25907,148,-,4595,776,2755,159,240,1577,833,806,2000,117,-,522,2658,1850,119,-,118,473,38,671,1267,386,78,387,229,167,95,300,1088,74,-,13,152,346,223,621,9,17
